frame,detected,det_x,det_y,kf_x,kf_y,confidence
200,True,1051,192,1062,182,0.19484654068946838
201,True,1045,199,1058,186,0.2554537355899811
202,False,,,1051,191,0.0
203,True,1025,215,1039,201,0.5539326667785645
204,True,1017,223,1035,205,0.4047873020172119
205,False,,,1025,213,0.0
206,False,,,1015,220,0.0
207,False,,,1005,228,0.0
208,True,978,263,988,249,0.3962704539299011
209,False,,,974,261,0.0
210,False,,,961,273,0.0
211,True,951,294,955,285,0.2452276200056076
212,True,942,309,950,293,0.37008294463157654
213,False,,,934,308,0.0
214,True,924,334,930,320,0.5989200472831726
215,True,916,344,926,324,0.24858416616916656
216,True,907,357,922,330,0.3590889871120453
217,False,,,904,349,0.0
218,False,,,887,367,0.0
219,True,876,404,881,385,0.5889588594436646
220,False,,,863,406,0.0
221,True,856,436,860,418,0.3306728005409241
222,True,847,452,856,425,0.25021088123321533
223,True,834,471,851,432,0.15471313893795013
224,True,829,487,849,439,0.33609262108802795
225,True,818,505,845,446,0.24315832555294037
226,True,808,524,841,454,0.6747470498085022
227,True,797,543,836,462,0.3218005299568176
228,True,787,561,832,469,0.2180853635072708
229,True,779,568,829,472,0.5390874147415161
230,False,,,805,505,0.0
231,True,760,568,788,528,0.2659212052822113
232,True,751,567,785,527,0.3062560260295868
233,False,,,757,564,0.0
234,True,733,568,748,565,0.33299997448921204
235,True,723,568,745,565,0.21066519618034363
236,True,713,568,741,565,0.5120750069618225
237,True,704,571,738,566,0.6405154466629028
238,True,693,571,734,566,0.12568913400173187
239,True,684,574,731,568,0.6848386526107788
240,True,675,576,728,568,0.11777330189943314
241,True,664,580,724,570,0.5032789707183838
242,True,654,583,721,571,0.5064665675163269
243,False,,,686,609,0.0
244,True,633,592,668,603,0.2666354775428772
245,True,620,595,664,604,0.10032618045806885
246,True,612,598,661,605,0.7222152352333069
247,True,602,603,657,607,0.19007231295108795
248,False,,,618,644,0.0
249,False,,,578,682,0.0
250,False,,,538,720,0.0
251,True,558,628,548,672,0.3179088830947876
252,True,544,639,541,678,0.16766807436943054
253,True,534,644,536,680,0.5777435302734375
254,True,520,653,529,685,0.33279523253440857
255,True,511,663,524,690,0.35150113701820374
256,True,498,671,517,694,0.5077734589576721
257,True,487,680,512,699,0.49660736322402954
258,True,474,690,505,704,0.5387694239616394
259,True,462,700,499,709,0.3348899483680725
260,True,449,713,492,716,0.5701854825019836
261,True,438,724,486,722,0.5306800603866577
262,True,425,737,480,728,0.4868015944957733
263,True,414,748,474,734,0.5015583038330078
264,True,402,759,468,740,0.10542071610689163
265,True,429,724,482,722,0.2699034512042999
266,True,454,694,495,706,0.2307721972465515
267,True,475,664,505,691,0.3898874521255493
268,True,507,625,522,671,0.40066012740135193
269,True,526,602,532,659,0.30448898673057556
270,True,549,575,544,645,0.42368340492248535
271,True,569,550,554,632,0.3360409736633301
272,True,588,526,564,620,0.7062214016914368
273,True,607,502,573,607,0.3859339654445648
274,False,,,540,626,0.0
275,False,,,506,645,0.0
276,False,,,472,663,0.0
