frame,detected,center_x,center_y,angle_deg,handle_x,handle_y,head_x,head_y,quality
22,1,794.463645943098,772.9009483667018,6.643482266458322,781.3522806069204,771.3738272119529,807.5750112792755,774.4280695214507,1.2404457579138812
23,1,791.4453280318091,774.831013916501,-100.11951743619385,793.8348763271892,788.2194439568024,789.055779736429,761.4425838761996,1.2040298078245066
24,1,781.3639143730887,777.8593272171254,-92.19097952142832,781.9756021747769,793.8476303801651,780.7522265714006,761.8710240540856,1.8218570049096507
25,1,780.2523076923077,778.3692307692307,-100.09630430277151,783.0571592638217,794.1214626003642,777.4474561207936,762.6169989380973,1.8396412968658855
26,1,778.2582781456954,779.7483443708609,-101.23851909385058,781.376578765303,795.4415340162375,775.1399775260878,764.0551547254843,1.9332094102487067
27,1,777.7444444444444,780.4740740740741,-91.04434574051838,778.0214836334283,795.6715491698842,777.4674052554606,765.276598978264,2.1213039793862962
28,1,775.7198581560284,781.1843971631206,-96.8363256622891,777.6243939479108,797.0706410054339,773.815322364146,765.2981533208073,2.8363630102629815
29,1,786.3737244897959,785.515306122449,-94.13516541533406,787.2967275282996,798.2819840533327,785.4507214512922,772.7486281915653,1.454601277322991
30,1,780.5849227974569,787.4486830154406,-90.78093571411902,780.8138980185809,804.2471225366613,780.3559475763329,770.6502434942198,2.1500923204175417
31,1,775.9774052478134,787.4475218658893,-84.52016779014431,774.2966866872187,804.9670876458986,777.6581238084082,769.9279560858799,1.6449037050573614
32,1,775.041028781384,785.3453766074709,-78.76364790142974,771.6115509911028,802.6080149367058,778.470506571665,768.0827382782361,1.1807134096182834
33,1,764.6764705882352,783.3088235294117,21.453689442428164,747.9236276494361,776.7253401453719,781.4293135270344,789.8923069134515,3.8747467884787152
34,1,774.1218424962852,832.4576523031203,8.646620631458866,744.0673573656338,827.8873215129636,804.1763276269367,837.027983093277,3.3807362302710606
35,1,778.0313043478261,834.3252173913044,10.027947824696133,749.2773946902524,829.2406643721995,806.7852140053998,839.4097704104092,4.056151142239393
36,1,777.9413854351687,837.1136767317939,6.991939139791006,749.3555627569037,833.6078613049938,806.5272081134337,840.6194921585941,2.7212117304047445
37,1,780.5562015503876,839.2693798449612,10.33625938223925,753.7976116714589,834.3890245616556,807.3147914293164,844.1497351282669,2.258678354334187
38,1,780.0415841584158,839.609900990099,14.526728587052732,754.4855728256546,832.9879462364197,805.5975954911771,846.2318557437784,2.5243461830453997
39,1,781.2894736842105,835.843984962406,5.39249327519153,745.0505696791503,832.4231902430422,817.5283776892708,839.2647796817698,4.649543521122019
40,1,771.1370757180157,838.6462140992168,28.39092229137251,743.6896894833599,823.8110872414637,798.5844619526715,853.4813409569698,3.1590412536751686
41,1,767.8896648044692,835.1019553072625,21.733707327219285,737.4212565003181,822.956334886241,798.3580731086204,847.247575728284,5.845546010920049
42,1,764.3234042553191,830.8368794326241,18.56848647236014,732.4724959692908,820.1373634924046,796.1743125413475,841.5363953728436,8.644955171985249
43,1,762.931129476584,828.4834710743802,17.290033363354475,730.4675040140916,818.3783722707558,795.3947549390765,838.5885698780046,8.625605697880662
44,1,772.742496050553,837.3238546603476,30.985596535970043,747.0235936123177,821.8791773450869,798.4613984887883,852.7685319756083,4.592527917790668
45,1,775.0965732087227,840.5965732087227,33.40209999677384,750.7196047611487,824.5216421262581,799.4735416562967,856.6715042911873,3.7278228676554646
46,1,788.689497716895,721.1118721461187,-107.89374503325776,797.046771990078,746.9961524475448,780.3322234437119,695.2275918446926,43.299850906093845
47,1,778.3292894280762,841.7019064124784,33.56501438498443,752.6649124087179,824.6731145525655,803.9936664474345,858.7306982723912,3.834093595177341
48,1,776.8604651162791,836.313269493844,25.7409835029901,749.116853966882,822.936721344525,804.6040762656762,849.689817643163,4.5337453790895115
49,1,781.9148936170213,844.0460992907801,42.12356451377775,761.443972339809,825.5339037953189,802.3858148942337,862.5582947862414,2.911834380790347
50,1,745.5,797.3166226912929,17.04105301507586,729.0551656014507,792.2760451842717,761.9448343985493,802.3572001983141,2.141925841934774
51,1,746.1901913875598,795.2679425837321,14.910692469171018,728.4097547766013,790.5333809436555,763.9706279985184,800.0025042238086,2.4177647244783893
52,1,800.144578313253,681.5493975903614,-60.192639765035636,789.208698845189,700.6388328952618,811.0804577813169,662.4599622854611,39.63895000559025
