frame,center_x,center_y,angle_deg,handle_x,handle_y,head_x,head_y,smoothed,interpolated,confidence
0,803.3572601846056,760.2268389473047,-104.36545080092066,807.4079799169572,776.1139772741353,799.306540452254,744.3397006204742,1,0,1.0
1,803.1998616497062,760.6007255486529,-102.90876372633153,806.9221433259744,776.8100219733328,799.4775799734381,744.391429123973,1,0,1.0
2,803.1317606041533,760.9509601543692,-116.67199616229158,809.1443574594803,778.8491331053814,797.1191637488264,743.0527872033571,1,0,1.0
3,803.0666846348618,761.3268047912952,-116.29711168522263,809.2545547265961,778.5844437789024,796.8788145431272,744.0691658036881,1,0,1.0
4,803.0438652166907,761.6675286991867,-103.04880426153765,807.9901966386808,776.0266164110117,798.0975337947009,747.3084409873618,1,0,1.0
5,802.9818113273116,761.8304550444743,-83.42527128001741,805.2432047472861,772.425182553616,800.720417907337,751.2357275353327,1,0,1.0
6,802.9377222112082,761.9562099575179,-60.113200908389075,801.5656972834865,768.3454709307715,804.3097471389298,755.5669489842642,1,0,1.0
7,803.408168395422,761.5733436365409,-28.509033974694972,797.1469743418284,762.013230892838,809.6693624490156,761.1334563802437,1,0,1.0
8,803.1620966670855,761.8730891379585,-4.595249010021604,792.462014192437,758.9729162299832,813.8621791417339,764.7732620459335,1,0,1.0
9,802.3826594772719,762.7561437839795,9.444316049735562,788.2466763441942,759.0031112955005,816.5186426103496,766.5091762724585,1,0,1.0
10,801.2476896991777,763.9304100192257,9.918600366416818,785.8120226733452,761.3371926322868,816.6833567250103,766.5236274061645,1,0,1.0
11,799.7492802371206,765.4361377531977,-1.2574294831478685,784.5935027728253,766.663306639454,814.9050577014159,764.2089688669412,1,0,1.0
12,798.2298476227404,767.0966028755649,-30.73307817884245,786.5859621052082,774.0618725435318,809.8737331402726,760.1313332075982,1,0,1.0
13,796.3649331829002,768.7926872881026,-46.0699996072741,786.43324449051,779.3834624533401,806.2966218752906,758.2019121228649,1,0,1.0
14,794.6542088751722,770.2893086278941,-57.15898288658512,786.4184665537407,783.485206863633,802.8899511966039,757.093410392155,1,0,1.0
15,793.3202192478943,771.4017950926511,-64.86023601089269,785.9472095994847,786.3790819705711,800.6932288963037,756.4245082147311,1,0,1.0
16,792.2525024373887,772.2809870379084,-67.99391025058902,785.4421938005645,787.7079489817997,799.062811074213,756.8540250940171,1,0,1.0
17,790.6787611026648,772.7077494027624,-71.43075175036681,784.7751767557559,788.1096451850253,796.5823454495738,757.3058536204996,1,0,1.0
18,789.7656490054278,773.1973534465485,-63.94406663669762,783.213752335562,787.2377764650087,796.3175456752933,759.1569304280882,1,0,1.0
19,790.0861849760151,773.378703162286,-61.460439593377295,783.8309685128986,786.0972395989156,796.3414014391316,760.6601667256566,1,0,1.0
20,789.9214806564332,773.6930697053053,-60.64378051056846,784.172378879134,785.4791137862321,795.6705824337323,761.9070256243785,1,0,1.0
21,789.3706526671698,774.205623222518,-62.9133689523219,784.635516175279,785.5897657701705,794.1057891590606,762.8214806748656,1,0,1.0
22,788.2017021690806,774.9359021630844,-68.63115948794123,785.1094809647434,786.432430975719,791.293923373418,763.4393733504498,1,0,1.0
23,786.5282151568038,775.8165886636078,-74.68485142027794,784.8768027093323,787.6990472280778,788.179627604275,763.9341300991379,1,0,1.0
24,783.6380701497169,776.5270975615427,-81.3353823268659,783.3287848087314,789.4133931567685,783.9473554907023,763.640801966317,1,0,1.0
25,782.116013007029,777.6498946096925,-88.06867289402953,782.9076221377451,791.0884833056002,781.3244038763128,764.211305913785,1,0,1.0
26,780.7982064374658,779.4288145242205,-96.74053612559038,782.8980312841218,794.1160811831704,778.6983815908097,764.7415478652704,1,0,1.0
27,778.9766908401065,781.6451456880608,-105.49976833453015,782.1063778043145,798.2590442714663,775.8470038758984,765.0312471046552,1,0,1.0
28,779.5956679227859,783.3959428344876,-103.15291588322569,782.0256204061031,800.9321350428763,777.1657154394684,765.859750626099,1,0,1.0
29,778.9643635675297,780.4439301835922,-97.60399317644611,781.4940262829275,797.3687593684407,776.4347008521318,763.5191009987436,1,0,1.0
30,777.2768893691984,782.1950257818328,-83.57996404144583,776.8533806476175,797.1634719047288,777.7003980907795,767.226579658937,1,0,1.0
31,776.0579513729235,787.3491991617144,-65.25799422706831,771.1890843989515,798.9976451260683,780.9268183468957,775.7007531973604,1,0,1.0
32,774.7932241081644,795.1974592699905,-45.63786137280072,764.4832974848077,803.068709325036,785.1031507315213,787.3262092149452,1,0,1.0
33,774.0853216901035,804.8192773902651,-24.704372067079667,757.692748953107,808.6900877618207,790.4778944271,800.9484670187096,1,0,1.0
34,773.2804796857833,815.3142229020993,-5.347050757485049,752.5010564023318,815.019603114752,794.0599029692349,815.6088426894466,1,0,1.0
35,775.7953299392703,825.2332668979293,7.242656897055285,749.8653812028742,821.9756291170759,801.7252786756665,828.4909046787827,1,0,1.0
36,777.9820517598027,834.2764365640462,16.13059946538775,748.8527452096145,828.3716807618496,807.1113583099907,840.1811923662428,1,0,1.0
37,779.2554151484833,840.7765412844687,18.594102286583574,748.7218198072583,833.4790406175994,809.7890104897084,848.0740419513381,1,0,1.0
38,779.4354493951232,842.5691377107238,12.36173957070548,749.5433664615989,835.9329072116122,809.3275323286474,849.2053682098356,1,0,1.0
39,775.5658084594779,837.152025341263,14.549191183757781,745.6624453993952,829.4064797381378,805.4691715195606,844.8975709443881,1,0,1.0
40,772.2154440070481,835.4631203916797,16.510106652562293,741.4715804829445,826.3925851309377,802.9593075311515,844.5336556524221,1,0,1.0
41,768.7569809137667,844.3053785828863,31.404748667423533,735.1408781157538,830.0295953908148,802.3730837117797,858.5811617749578,1,0,1.0
42,768.3475717373104,831.2878952038701,19.379446185234237,738.6875348948911,820.0842925705774,798.0076085797298,842.4914978371628,1,0,1.0
43,769.4660160775712,822.5588898293245,11.44191697074805,743.8535083642007,813.1868117316382,795.0785237909415,831.9309679270107,1,0,1.0
44,771.1341586038345,816.2866500661474,4.806916737374159,748.7340169421469,808.6550845224236,793.5343002655219,823.9182156098711,1,0,1.0
45,777.7441677127263,817.1020140643411,2.121868846219888,756.4405499795287,810.0024278700714,799.0477854459241,824.2016002586108,1,0,1.0
46,780.0897503736843,817.0730926968115,3.618447767148485,761.0328450817964,809.4767953229789,799.1466556655723,824.6693900706441,1,0,1.0
47,774.5342871552348,825.3323163741302,12.119286233623011,756.4126953984343,815.569216229761,792.6558789120352,835.0954165184994,1,0,1.0
48,771.6176488219173,821.0660614363412,12.917872312391731,754.4207890126609,811.777451133624,788.8145086311737,830.3546717390585,1,0,1.0
49,773.6014880508645,796.8489887297865,2.629702423469987,756.0989531784669,792.4875461405688,791.104022923262,801.2104313190041,1,0,1.0
50,773.2780217312654,780.7627533990485,0.7074488077970464,755.1159276717774,778.663420463484,791.4401157907535,782.862086334613,1,0,1.0
51,770.7653506916472,773.6211799336643,5.932890849666977,751.0781363976907,771.4588044835011,790.4525649856037,775.7835553838274,1,0,1.0
52,769.5101579357074,751.3771166546762,-9.824202521861864,754.8162312242289,755.3374212469209,784.2040846471857,747.4168120624315,1,0,1.0
53,766.9439958130771,747.1507042153005,-9.742823464453876,753.3255280122739,751.7625336877254,780.5624636138803,742.5388747428755,1,0,1.0
54,764.1360953571512,750.9923502509099,-7.506925610542477,749.9411673489114,755.0724621209793,778.331023365391,746.9122383808406,1,0,1.0
55,760.3315552970626,778.5217217927743,4.924348046007756,745.4647519565054,778.272297668052,775.1983586376198,778.7711459174966,1,0,1.0
56,755.1918719760095,791.6065856751379,13.794556284421713,740.5370532268904,788.1372239683085,769.8466907251286,795.0759473819674,1,0,1.0
57,749.9018292981253,799.1787133635736,22.039101677132017,733.6942336309809,792.961113387983,766.1094249652697,805.3963133391642,1,0,1.0
58,755.5530764139639,778.4948560004626,14.424406364220665,739.2502701605717,774.2579045080017,771.8558826673564,782.7318074929236,1,0,1.0
59,766.5796512252623,739.4810304536328,-0.9531197499692261,749.3428496605009,740.2645780972696,783.816452790024,738.697482809996,1,0,1.0
60,773.8483819606738,707.4089678430441,-7.703737956923861,755.9528659216081,710.1735506244655,791.7438979997394,704.6443850616226,1,0,1.0
61,780.1881507492153,676.9003374602719,-12.866406966445131,761.822221909845,681.200539181392,798.5540795885855,672.6001357391518,1,0,1.0
62,785.0133862140776,651.8960119536778,-14.50285435569356,766.8263625968436,656.8783863994743,803.200409831312,646.9136375078809,1,0,1.0
63,787.3006758704773,635.1485828559171,-14.188953924996659,768.4042532966239,639.9751105332138,806.1970984443309,630.3220551786205,1,0,1.0
64,786.4215195068737,631.0500657053708,-11.419649912791591,766.3841506341762,634.9852698601866,806.4588883795711,627.1148615505549,1,0,1.0
65,782.1455841082925,643.1354363423284,-5.156308718558896,760.8955600884372,645.1270006632199,803.3956081281478,641.143872021437,1,0,1.0
66,781.2234426129908,643.3129807481862,-3.2640326231463224,758.9434924954058,644.4887138371816,803.5033927305758,642.1372476591907,1,0,1.0
67,779.968381237981,645.3622597722601,-2.279288388448903,755.4062179677702,646.4694669096984,804.5305445081918,644.2550526348219,1,0,1.0
68,779.3138265854791,646.6647201922806,-2.2933479913462906,753.3380992917754,647.6985540192752,805.2895538791829,645.6308863652857,1,0,1.0
69,778.6597657081783,648.0655650603321,-1.8002214203252804,751.0388068482106,648.8927105678393,806.2807245681458,647.2384195528248,1,0,1.0
70,778.2116628615072,648.621539649267,-0.365391917620428,749.8438411557887,648.8174255706626,806.5794845672259,648.4256537278716,1,0,1.0
71,777.8420399580855,649.5011970839976,0.7177119012424318,749.0538894993128,649.1369840658349,806.6301904168583,649.8654101021602,1,1,0.5
72,777.6197576613285,650.2764483061796,1.9347187102181143,748.8065594000453,649.2663738401336,806.4329559226119,651.2865227722256,1,1,0.5
73,777.4178341068524,650.885924996448,3.3934088566148426,748.4977263648677,649.1251784711021,806.3379418488371,652.6466715217938,1,1,0.5
74,777.194625269656,651.4089975964374,4.586011283306732,748.1460595344803,649.0274788091999,806.2431910048318,653.7905163836751,1,1,0.5
75,776.9799770830671,652.1388585670613,5.856563067083006,747.7586932336148,649.0766735936726,806.2012609325193,655.2010435404502,1,1,0.5
76,776.8670189019372,653.2184695332436,6.960889641291091,747.5065517635153,649.5821277214645,806.227486040359,656.8548113450229,1,1,0.5
77,776.8938557899673,654.6397625358935,7.632969497129001,747.3216601334535,650.6334591437578,806.4660514464813,658.6460659280293,1,1,0.5
78,776.923803699049,655.188763666258,9.057655377644469,747.4608277219867,650.4763098719862,806.3867796761112,659.9012174605296,1,0,1.0
79,781.1454137168018,649.8060781131325,11.035349264256174,751.1900523426779,644.0821788817034,811.1007750909256,655.5299773445615,1,0,1.0
80,779.1886222453162,650.618133571135,11.308268336610926,749.9448513875857,644.7605208181037,808.4323931030469,656.4757463241662,1,0,1.0
81,776.1833242277326,659.5882428139464,10.984700914455058,746.9980720721342,653.9103322556213,805.368576383331,665.2661533722717,1,0,1.0
82,769.2807770861825,670.9056888149613,9.647201763888535,741.1544154302658,665.9214369465838,797.4071387420993,675.8899406833389,1,0,1.0
83,759.8455047422835,684.5201092596483,7.692863688850395,731.880193705741,680.5547450297297,787.8108157788259,688.4854734895669,1,0,1.0
84,748.7445684603424,697.3208274474061,5.376732526660744,721.4121346742854,694.5484095570855,776.0770022463994,700.0932453377268,1,0,1.0
85,737.1835440863973,707.5416690163304,3.0416520404709204,710.4181008113003,705.9508918394358,763.9489873614943,709.1324461932248,1,0,1.0
