frame,time_sec,detected,x1,y1,x2,y2,conf
0,0.000000,1,783.1016845703125,742.9459228515625,824.7997436523438,779.8792114257812,0.6466783285140991
1,0.016683,1,784.1112670898438,743.619873046875,824.7178344726562,779.68359375,0.6289752125740051
2,0.033367,1,781.40283203125,744.5064086914062,824.74462890625,780.349609375,0.623383641242981
3,0.050050,1,782.3123168945312,744.11474609375,824.66259765625,781.3544921875,0.6310029029846191
4,0.066733,1,782.4879150390625,743.607421875,824.59814453125,782.2408447265625,0.652888834476471
5,0.083417,1,781.3123779296875,743.551513671875,824.5325927734375,782.5328979492188,0.6889664530754089
6,0.100100,1,783.3845825195312,743.1793212890625,824.1321411132812,782.7848510742188,0.6731685996055603
7,0.116783,1,783.568359375,743.0131225585938,823.8916625976562,783.4803466796875,0.6983832120895386
8,0.133467,1,783.2479858398438,743.015869140625,823.4458618164062,783.5968017578125,0.7126570343971252
9,0.150150,1,783.1148071289062,742.9004516601562,822.7249145507812,784.2738647460938,0.7243661284446716
10,0.166833,1,783.2407836914062,743.0704345703125,822.4453125,785.0120239257812,0.7579494118690491
11,0.183517,1,782.8510131835938,743.6546630859375,822.1925048828125,785.1419677734375,0.7336698770523071
12,0.200200,1,782.4302368164062,744.4171142578125,821.912353515625,785.4069213867188,0.7304431796073914
13,0.216883,1,781.4386596679688,744.7000122070312,821.4025268554688,785.7284545898438,0.7237033843994141
14,0.233567,1,782.0821533203125,746.2277221679688,820.693603515625,785.6805419921875,0.696214497089386
15,0.250250,1,781.6930541992188,746.9845581054688,819.603759765625,786.5887451171875,0.674809455871582
16,0.266933,1,780.91796875,747.2747192382812,818.9465942382812,787.58154296875,0.6626084446907043
17,0.283617,1,778.8369140625,750.2454223632812,816.740478515625,789.6764526367188,0.7099564075469971
18,0.300300,1,779.1553344726562,749.8465576171875,816.2828979492188,788.763427734375,0.7081481218338013
19,0.316983,1,778.2595825195312,752.2055053710938,815.9002075195312,789.0712280273438,0.6551985740661621
20,0.333667,1,774.0707397460938,756.7592163085938,813.0678100585938,791.2769775390625,0.7047471404075623
